ts,temp,%humidity
1/5/17 00:00,22,73
1/5/17 01:00,21,78
1/5/17 02:00,21,78
1/5/17 03:00,21,78
1/5/17 04:00,20,78
1/5/17 05:00,20,78
1/5/17 06:00,21.5,73
1/5/17 07:00,24.5,67
1/5/17 08:00,26.5,63
1/5/17 09:00,28.5,51
1/5/17 10:00,30,42
1/5/17 11:00,31,46
1/5/17 12:00,31,47
1/5/17 13:00,30,53
1/5/17 14:00,30.5,51
1/5/17 15:00,30,46
1/5/17 16:00,29,51
1/5/17 17:00,28,58
1/5/17 18:00,27,61
1/5/17 19:00,25.5,67
1/5/17 20:00,25,69
1/5/17 21:00,24.5,71
1/5/17 22:00,25,69
1/5/17 23:00,25,69
2/5/17 00:00,25,69
2/5/17 01:00,25,69
2/5/17 02:00,25,69
2/5/17 03:00,24,73
2/5/17 04:00,24,73
2/5/17 05:00,23.5,73
2/5/17 06:00,23.33333333,76
2/5/17 07:00,25,77
2/5/17 08:00,27,70
2/5/17 09:00,28,62
2/5/17 10:00,28,66
2/5/17 11:00,29,53
2/5/17 12:00,30,55
2/5/17 13:00,31,50
2/5/17 14:00,30.5,53
2/5/17 15:00,28.5,56
2/5/17 16:00,27.33333333,61
2/5/17 17:00,26.5,65
2/5/17 18:00,26,67
2/5/17 19:00,26,67
2/5/17 20:00,26,69
2/5/17 21:00,25,76
2/5/17 22:00,25,78
2/5/17 23:00,25,78
3/5/17 00:00,25,78
3/5/17 01:00,25,78
3/5/17 02:00,25,78
3/5/17 03:00,24,83
3/5/17 04:00,24,83
3/5/17 05:00,24,83
3/5/17 06:00,24.66666667,79
3/5/17 07:00,25,78
3/5/17 08:00,25,78
3/5/17 09:00,26,78
3/5/17 10:00,26.5,78
3/5/17 11:00,28.5,74
3/5/17 12:00,28.5,74
3/5/17 13:00,29,72
3/5/17 14:00,28.5,70
3/5/17 15:00,28,70
3/5/17 16:00,27.5,72
3/5/17 17:00,26.5,74
3/5/17 18:00,26,74
3/5/17 19:00,25.5,76
3/5/17 20:00,25,83
3/5/17 21:00,24.5,80
3/5/17 22:00,24,89
3/5/17 23:00,24,89
4/5/17 00:00,24,89
4/5/17 01:00,23,94
4/5/17 02:00,23,94
4/5/17 03:00,23,73
4/5/17 04:00,24,73
4/5/17 05:00,24,73
4/5/17 06:00,24.5,78
4/5/17 07:00,26,74
4/5/17 08:00,28,74
4/5/17 09:00,29.5,66
4/5/17 10:00,31,62
4/5/17 11:00,31,62
4/5/17 12:00,32,59
4/5/17 13:00,31.66666667,60
4/5/17 14:00,30.5,64
4/5/17 15:00,29.5,68
4/5/17 16:00,29,70
4/5/17 17:00,29,70
4/5/17 18:00,29,64
4/5/17 19:00,29,66
4/5/17 20:00,29,66
4/5/17 21:00,28,70
4/5/17 22:00,27,76
4/5/17 23:00,26.5,78
5/5/17 00:00,26,78
5/5/17 01:00,26,78
5/5/17 02:00,25,83
5/5/17 03:00,25,78
5/5/17 04:00,25,83
5/5/17 05:00,25,78
5/5/17 06:00,26,80
5/5/17 07:00,28,76
5/5/17 08:00,30,68
5/5/17 09:00,30,64
5/5/17 10:00,30.33333333,64
5/5/17 11:00,30.66666667,64
5/5/17 12:00,32,59
5/5/17 13:00,31.66666667,63
5/5/17 14:00,29.5,72
5/5/17 15:00,27.16666667,77
5/5/17 16:00,27,79
5/5/17 17:00,27,76
5/5/17 18:00,26,78
5/5/17 19:00,26,80
5/5/17 20:00,26,83
5/5/17 21:00,26,83
5/5/17 22:00,26,83
5/5/17 23:00,26,83
6/5/17 00:00,26,83
6/5/17 01:00,25,78
6/5/17 02:00,25,78
6/5/17 03:00,25,78
6/5/17 04:00,25,78
6/5/17 05:00,25,74
6/5/17 06:00,25,74
6/5/17 07:00,25,76
6/5/17 08:00,25.5,78
6/5/17 09:00,25.5,78
6/5/17 10:00,26,76
6/5/17 11:00,27.5,72
6/5/17 12:00,27,76
6/5/17 13:00,26.5,78
6/5/17 14:00,26.5,76
6/5/17 15:00,24.5,80
6/5/17 16:00,24,75
6/5/17 17:00,23.5,75
6/5/17 18:00,23,78
6/5/17 19:00,23,78
6/5/17 20:00,23,78
6/5/17 21:00,23,78
6/5/17 22:00,23,78
6/5/17 23:00,23,78
7/5/17 00:00,23,78
7/5/17 01:00,22,78
7/5/17 02:00,22,78
7/5/17 03:00,22,78
7/5/17 04:00,22,78
7/5/17 05:00,22,78
7/5/17 06:00,23,78
7/5/17 07:00,23,78
7/5/17 08:00,25,74
7/5/17 09:00,26,69
7/5/17 10:00,26,69
7/5/17 11:00,27,66
7/5/17 12:00,26.5,69
7/5/17 13:00,26,69
7/5/17 14:00,26,69
7/5/17 15:00,25,74
7/5/17 16:00,25.66666667,69
7/5/17 17:00,24.75,73
7/5/17 18:00,24,73
7/5/17 19:00,23,78
7/5/17 20:00,23,78
7/5/17 21:00,23.5,71
7/5/17 22:00,23.5,71
7/5/17 23:00,24,69
8/5/17 00:00,24,73
8/5/17 01:00,24,73
8/5/17 02:00,24,78
8/5/17 03:00,23,83
8/5/17 04:00,23,83
8/5/17 05:00,22,88
8/5/17 06:00,23.5,83
8/5/17 07:00,26.5,72
8/5/17 08:00,29,64
8/5/17 09:00,30.5,62
8/5/17 10:00,32,55
8/5/17 11:00,32,55
8/5/17 12:00,31,60
8/5/17 13:00,30,68
8/5/17 14:00,30.5,66
8/5/17 15:00,28.5,74
8/5/17 16:00,28,74
8/5/17 17:00,28,74
8/5/17 18:00,28,74
8/5/17 19:00,26.5,78
8/5/17 20:00,26,78
8/5/17 21:00,26,78
8/5/17 22:00,25,80
8/5/17 23:00,25,78
9/5/17 00:00,25,78
9/5/17 01:00,25,78
9/5/17 02:00,25,78
9/5/17 03:00,25,78
9/5/17 04:00,25,78
9/5/17 05:00,24,83
9/5/17 06:00,25,80
9/5/17 07:00,24.25,87
9/5/17 08:00,25.25,83
9/5/17 09:00,26.5,78
9/5/17 10:00,26.5,78
9/5/17 11:00,27.5,76
9/5/17 12:00,28,74
9/5/17 13:00,27.33333333,74
9/5/17 14:00,26,80
9/5/17 15:00,27,74
9/5/17 16:00,27,74
9/5/17 17:00,28,68
9/5/17 18:00,27.5,72
9/5/17 19:00,26.5,76
9/5/17 20:00,26.5,76
9/5/17 21:00,25.5,78
9/5/17 22:00,25,78
9/5/17 23:00,24.5,80
10/5/17 00:00,24,78
10/5/17 01:00,23,78
10/5/17 02:00,24,78
10/5/17 03:00,23,78
10/5/17 04:00,23,78
10/5/17 05:00,23,78
10/5/17 06:00,24,78
